classifier,distance_metric,n,k,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1
knn,euclidean,1,1,0.5692883895131086,[0.55462185 0.68965517],[0.93617021 0.15873016],[0.69656992 0.25806452],0.6221385105766445,0.547450185748058,0.4773172184866797
knn,euclidean,1,2,0.5692883895131086,[0.55462185 0.68965517],[0.93617021 0.15873016],[0.69656992 0.25806452],0.6221385105766445,0.547450185748058,0.4773172184866797
knn,euclidean,1,3,0.5468164794007491,[0.53968254 0.66666667],[0.96453901 0.07936508],[0.69211196 0.14184397],0.6031746031746031,0.521952043228639,0.41697796545936877
knn,euclidean,1,4,0.548689138576779,[0.54027505 0.72      ],[0.9751773  0.07142857],[0.69532238 0.1299639 ],0.6301375245579568,0.5233029381965553,0.4126431378276367
knn,euclidean,1,5,0.5411985018726592,[0.53578337 0.70588235],[0.9822695  0.04761905],[0.69336671 0.08921933],0.620832859255888,0.5149442755825735,0.3912930196202502
knn,euclidean,1,6,0.5449438202247191,[0.5377176  0.76470588],[0.9858156 0.0515873],[0.69586984 0.09665428],0.651211741950165,0.5187014522120905,0.3962620561947788
knn,euclidean,1,7,0.5393258426966292,[0.53474903 0.6875    ],[0.9822695  0.04365079],[0.6925     0.08208955],0.6111245173745175,0.5129601485984465,0.38729477611940305
knn,euclidean,1,8,0.5393258426966292,[0.53448276 0.75      ],[0.9893617  0.03571429],[0.69402985 0.06818182],0.6422413793103448,0.5125379939209727,0.38110583446404334
knn,euclidean,1,9,0.5355805243445693,[0.53244275 0.7       ],[0.9893617  0.02777778],[0.69230769 0.05343511],0.6162213740458016,0.5085697399527187,0.37287140340575453
knn,euclidean,1,10,0.5355805243445693,[0.53256705 0.66666667],[0.9858156  0.03174603],[0.69154229 0.06060606],0.5996168582375478,0.5087808172914556,0.3760741745816373
knn,euclidean,2,1,0.5449438202247191,[0.53742802 0.84615385],[0.9929078  0.04365079],[0.69738481 0.08301887],0.6917909345932378,0.5182792975346167,0.3902018374491882
knn,euclidean,2,2,0.5449438202247191,[0.53742802 0.84615385],[0.9929078  0.04365079],[0.69738481 0.08301887],0.6917909345932378,0.5182792975346167,0.3902018374491882
knn,euclidean,2,3,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,2,4,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,2,5,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,2,6,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,2,7,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,2,8,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,2,9,0.5374531835205992,[0.53308129 1.        ],[1.         0.01984127],[0.69543773 0.03891051],0.7665406427221172,0.5099206349206349,0.36717411851631504
knn,euclidean,2,10,0.5374531835205992,[0.53308129 1.        ],[1.         0.01984127],[0.69543773 0.03891051],0.7665406427221172,0.5099206349206349,0.36717411851631504
knn,euclidean,3,1,0.5430711610486891,[0.53625954 0.9       ],[0.9964539  0.03571429],[0.69727047 0.06870229],0.7181297709923664,0.5160840932117529,0.3829863807701779
knn,euclidean,3,2,0.5430711610486891,[0.53625954 0.9       ],[0.9964539  0.03571429],[0.69727047 0.06870229],0.7181297709923664,0.5160840932117529,0.3829863807701779
knn,euclidean,3,3,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,3,4,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,3,5,0.5374531835205992,[0.53308129 1.        ],[1.         0.01984127],[0.69543773 0.03891051],0.7665406427221172,0.5099206349206349,0.36717411851631504
knn,euclidean,3,6,0.5374531835205992,[0.53308129 1.        ],[1.         0.01984127],[0.69543773 0.03891051],0.7665406427221172,0.5099206349206349,0.36717411851631504
knn,euclidean,3,7,0.5374531835205992,[0.53308129 1.        ],[1.         0.01984127],[0.69543773 0.03891051],0.7665406427221172,0.5099206349206349,0.36717411851631504
knn,euclidean,3,8,0.5374531835205992,[0.53308129 1.        ],[1.         0.01984127],[0.69543773 0.03891051],0.7665406427221172,0.5099206349206349,0.36717411851631504
knn,euclidean,3,9,0.5318352059925093,[0.53007519 1.        ],[1.         0.00793651],[0.69287469 0.01574803],0.7650375939849624,0.503968253968254,0.3543113621853779
knn,euclidean,3,10,0.5318352059925093,[0.53007519 1.        ],[1.         0.00793651],[0.69287469 0.01574803],0.7650375939849624,0.503968253968254,0.3543113621853779
knn,euclidean,4,1,0.5411985018726592,[0.5352381  0.88888889],[0.9964539  0.03174603],[0.69640644 0.06130268],0.7120634920634921,0.5140999662276258,0.37885456280533836
knn,euclidean,4,2,0.5411985018726592,[0.5352381  0.88888889],[0.9964539  0.03174603],[0.69640644 0.06130268],0.7120634920634921,0.5140999662276258,0.37885456280533836
knn,euclidean,4,3,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,4,4,0.5393258426966292,[0.53409091 1.        ],[1.         0.02380952],[0.6962963  0.04651163],0.7670454545454546,0.5119047619047619,0.37140396210163645
knn,euclidean,4,5,0.5355805243445693,[0.53207547 1.        ],[1.         0.01587302],[0.69458128 0.03125   ],0.7660377358490567,0.5079365079365079,0.36291564039408863
knn,euclidean,4,6,0.5355805243445693,[0.53207547 1.        ],[1.         0.01587302],[0.69458128 0.03125   ],0.7660377358490567,0.5079365079365079,0.36291564039408863
knn,euclidean,4,7,0.5355805243445693,[0.53207547 1.        ],[1.         0.01587302],[0.69458128 0.03125   ],0.7660377358490567,0.5079365079365079,0.36291564039408863
knn,euclidean,4,8,0.5355805243445693,[0.53207547 1.        ],[1.         0.01587302],[0.69458128 0.03125   ],0.7660377358490567,0.5079365079365079,0.36291564039408863
knn,euclidean,4,9,0.5318352059925093,[0.53007519 1.        ],[1.         0.00793651],[0.69287469 0.01574803],0.7650375939849624,0.503968253968254,0.3543113621853779
knn,euclidean,4,10,0.5318352059925093,[0.53007519 1.        ],[1.         0.00793651],[0.69287469 0.01574803],0.7650375939849624,0.503968253968254,0.3543113621853779
knn,cosine,1,1,0.5449438202247191,[0.54285714 0.55696203],[0.87588652 0.17460317],[0.67028494 0.26586103],0.5499095840867992,0.5252448497129348,0.4680729830659939
knn,cosine,1,2,0.5449438202247191,[0.54285714 0.55696203],[0.87588652 0.17460317],[0.67028494 0.26586103],0.5499095840867992,0.5252448497129348,0.4680729830659939
knn,cosine,1,3,0.5243445692883895,[0.52941176 0.48275862],[0.89361702 0.11111111],[0.66490765 0.18064516],0.5060851926977687,0.5023640661938534,0.42277640650268106
knn,cosine,1,4,0.5205992509363296,[0.52708333 0.46296296],[0.89716312 0.09920635],[0.66404199 0.16339869],0.4950231481481482,0.49818473488686255,0.41372034378055683
knn,cosine,1,5,0.5056179775280899,[0.51814516 0.34210526],[0.91134752 0.0515873 ],[0.66066838 0.08965517],0.4301252122241087,0.48146740965889906,0.37516177643825904
knn,cosine,1,6,0.5205992509363296,[0.52610442 0.44444444],[0.92907801 0.06349206],[0.67179487 0.11111111],0.48527443105756357,0.49628503883823033,0.3914529914529914
knn,cosine,1,7,0.5131086142322098,[0.5218254  0.36666667],[0.93262411 0.04365079],[0.6692112  0.07801418],0.4442460317460317,0.48813745356298543,0.37361269016295817
knn,cosine,1,8,0.5112359550561798,[0.52087475 0.35483871],[0.92907801 0.04365079],[0.66751592 0.07773852],0.4378567305842365,0.4863644039175954,0.37262721973396956
knn,cosine,1,9,0.5074906367041199,[0.51896208 0.33333333],[0.92198582 0.04365079],[0.66411239 0.07719298],0.4261477045908183,0.48281830462681524,0.3706526853532298
knn,cosine,1,10,0.5149812734082397,[0.52277228 0.37931034],[0.93617021 0.04365079],[0.67090216 0.07829181],0.4510413110276545,0.48991050320837554,0.37459698752413556
knn,cosine,2,1,0.602996254681648,[0.59210526 0.62987013],[0.79787234 0.38492063],[0.67975831 0.47783251],0.6109876965140123,0.5913964876730834,0.5787954102361853
knn,cosine,2,2,0.602996254681648,[0.59210526 0.62987013],[0.79787234 0.38492063],[0.67975831 0.47783251],0.6109876965140123,0.5913964876730834,0.5787954102361853
knn,cosine,2,3,0.5973782771535581,[0.5839599  0.63703704],[0.82624113 0.34126984],[0.68428781 0.44444444],0.6104984683932053,0.5837554880108071,0.5643661282427802
knn,cosine,2,4,0.6086142322097379,[0.59012346 0.66666667],[0.84751773 0.34126984],[0.69577875 0.45144357],0.6283950617283951,0.5943937858831476,0.5736111588671503
knn,cosine,2,5,0.602996254681648,[0.58373206 0.67241379],[0.86524823 0.30952381],[0.69714286 0.42391304],0.6280729252598581,0.587386018237082,0.5605279503105591
knn,cosine,2,6,0.6104868913857678,[0.58809524 0.69298246],[0.87588652 0.31349206],[0.7037037  0.43169399],0.6405388471177945,0.5946892941573793,0.5676988463873709
knn,cosine,2,7,0.6067415730337079,[0.58450704 0.69444444],[0.88297872 0.29761905],[0.70338983 0.41666667],0.6394757433489828,0.5902988855116514,0.5600282485875705
knn,cosine,2,8,0.6086142322097379,[0.58468677 0.70873786],[0.89361702 0.28968254],[0.70687237 0.41126761],0.6467123195098327,0.5916497804795677,0.5590699879501413
knn,cosine,2,9,0.5917602996254682,[0.57373272 0.67      ],[0.88297872 0.26587302],[0.69553073 0.38068182],0.6218663594470046,0.5744258696386356,0.5381062722194008
knn,cosine,2,10,0.5786516853932584,[0.56521739 0.63917526],[0.87588652 0.24603175],[0.68706537 0.35530086],0.6021963245181532,0.5609591354272205,0.5211831140831543
