classifier,distance_metric,n,k,avg_macro_f1
knn,euclidean,1,1,0.540419515845937
knn,euclidean,1,2,0.5371770745976283
knn,euclidean,1,3,0.536684878658968
knn,euclidean,1,4,0.5450878317502762
knn,euclidean,1,5,0.536915696247696
knn,euclidean,1,6,0.5368482149172394
knn,euclidean,1,7,0.5277265031184062
knn,euclidean,2,1,0.531081030807474
knn,euclidean,2,2,0.5474789849616842
knn,euclidean,2,3,0.5244912501206255
knn,euclidean,2,4,0.5368060888093175
knn,euclidean,2,5,0.5253291190981204
knn,euclidean,2,6,0.5151386717114058
knn,euclidean,2,7,0.509464140140043
knn,euclidean,3,1,0.5719587913386259
knn,euclidean,3,2,0.5673842723826904
knn,euclidean,3,3,0.578287084755064
knn,euclidean,3,4,0.5785935943833117
knn,euclidean,3,5,0.5749752756030295
knn,euclidean,3,6,0.5752555617377334
knn,euclidean,3,7,0.569970875175384
knn,euclidean,4,1,0.5803549672252611
knn,euclidean,4,2,0.5817454034292666
knn,euclidean,4,3,0.5948854817261336
knn,euclidean,4,4,0.5951803375228031
knn,euclidean,4,5,0.5920395643163425
knn,euclidean,4,6,0.5895753997957228
knn,euclidean,4,7,0.5931305561338777
knn,cosine,1,1,0.5385474605967568
knn,cosine,1,2,0.5339487027529647
knn,cosine,1,3,0.5368346073854214
knn,cosine,1,4,0.5420111041442128
knn,cosine,1,5,0.5358093940309787
knn,cosine,1,6,0.542829170150872
knn,cosine,1,7,0.5407297882344517
knn,cosine,2,1,0.5402715643218027
knn,cosine,2,2,0.5415631535929821
knn,cosine,2,3,0.5239112082350948
knn,cosine,2,4,0.5241910179535625
knn,cosine,2,5,0.5175487454541006
knn,cosine,2,6,0.5120153666867876
knn,cosine,2,7,0.4993781653787968
knn,cosine,3,1,0.5650867016756087
knn,cosine,3,2,0.5802260523227819
knn,cosine,3,3,0.5766829079267988
knn,cosine,3,4,0.5831758967218412
knn,cosine,3,5,0.5765573198869308
knn,cosine,3,6,0.5784867773921791
knn,cosine,3,7,0.5723120027130073
knn,cosine,4,1,0.5854259342569399
knn,cosine,4,2,0.584251809962736
knn,cosine,4,3,0.5919669167552991
knn,cosine,4,4,0.5924290852315234
knn,cosine,4,5,0.5899190041102322
knn,cosine,4,6,0.5888136131822592
knn,cosine,4,7,0.5925569672602677
