classifier,distance_metric,n,k,avg_macro_f1
knn,euclidean,1,1,0.5275242518550292
knn,euclidean,1,2,0.5379051268246978
knn,euclidean,1,3,0.5371882970942227
knn,euclidean,1,4,0.5356444501816726
knn,euclidean,1,5,0.5285698377159525
knn,euclidean,1,6,0.5335144886508426
knn,euclidean,1,7,0.5241251075656793
knn,euclidean,2,1,0.5359383840273495
knn,euclidean,2,2,0.5473060183893016
knn,euclidean,2,3,0.5214257069581016
knn,euclidean,2,4,0.5288955751727838
knn,euclidean,2,5,0.5159009095235766
knn,euclidean,2,6,0.5140735041531338
knn,euclidean,2,7,0.5045622194418335
knn,euclidean,3,1,0.5739763846272641
knn,euclidean,3,2,0.566161957901775
knn,euclidean,3,3,0.5769934529849157
knn,euclidean,3,4,0.5815409867470642
knn,euclidean,3,5,0.5707122088115225
knn,euclidean,3,6,0.5751225863543983
knn,euclidean,3,7,0.561667107102504
knn,euclidean,4,1,0.5798928186579351
knn,euclidean,4,2,0.5831816552782785
knn,euclidean,4,3,0.5926980137805099
knn,euclidean,4,4,0.5922305647149751
knn,euclidean,4,5,0.595941391953667
knn,euclidean,4,6,0.5906332317692728
knn,euclidean,4,7,0.6008232410677573
knn,cosine,1,1,0.5351494250810613
knn,cosine,1,2,0.5305028357135891
knn,cosine,1,3,0.5350558723837506
knn,cosine,1,4,0.5394554307797164
knn,cosine,1,5,0.5296784601737903
knn,cosine,1,6,0.538318655492073
knn,cosine,1,7,0.5360164294012874
knn,cosine,2,1,0.5415367467940927
knn,cosine,2,2,0.5374380444238854
knn,cosine,2,3,0.5223730816934562
knn,cosine,2,4,0.5286334298137338
knn,cosine,2,5,0.507245256959963
knn,cosine,2,6,0.5110839369028448
knn,cosine,2,7,0.49821795162110816
knn,cosine,3,1,0.5687210556060021
knn,cosine,3,2,0.5791280217761011
knn,cosine,3,3,0.5746894745509428
knn,cosine,3,4,0.5809721586012655
knn,cosine,3,5,0.5778034431346898
knn,cosine,3,6,0.5748590178909453
knn,cosine,3,7,0.5720888794384961
knn,cosine,4,1,0.5829924096988438
knn,cosine,4,2,0.583516963270847
knn,cosine,4,3,0.5785222016725055
knn,cosine,4,4,0.5927339480790602
knn,cosine,4,5,0.589270427833514
knn,cosine,4,6,0.5912379295155871
knn,cosine,4,7,0.5834901585665635
